Unnamed: 0,brand,name,price,image_name
2267,TONY+WILL,Lunar,99.95,2267.jpg
2268,Cluse,Boho Chic Mesh,169.0,2268.jpg
2269,Tissot,Bellissima,650.0,2269.jpg
2270,Guess,Super Nova,249.95,2270.jpg
2271,Maxum,Maverick,99.0,2271.jpg
2272,Guess,Gala,329.95,2272.jpg
2273,Mido,Commander Big Date,1575.0,2273.jpg
2274,Nixon,Sentry SS,349.99,2274.jpg
2275,Mido,Multifort Gent,1400.0,2275.jpg
2276,Guess,Soiree,379.95,2276.jpg
2277,TIMEX,Timex Q Diver,299.95,2277.jpg
2278,Tissot,Seastar 1000 Chronograph,875.0,2278.jpg
2279,Swatch,ALL THAT BLUES,130.0,2279.jpg
2280,Rose & Coy,Hello,189.0,2280.jpg
2281,Daniel Wellington,Petite Lumine Pearl,339.0,2281.jpg
2282,TIMEX,Essex,149.95,2282.jpg
2283,TONY+WILL,Small Astral,99.95,2283.jpg
2284,Mido,Multifort Chronometer 1,1975.0,2284.jpg
2285,adidas Originals,Edition Three,249.95,2285.jpg
2286,adidas Originals,Digital One GMT,179.95,2286.jpg
2287,Swatch,SIDERAL GREY,150.0,2287.jpg
2288,Mido,Commander Gradient,1550.0,2288.jpg
2289,Cluse,Fluette,149.0,2289.jpg
2290,Guess,Grace,329.95,2290.jpg
2291,TONY+WILL,Classic,99.95,2291.jpg
2292,Maserati,Maserati Sfida Gold Chronograph,549.0,2292.jpg
2293,Daniel Wellington,Quadro Sheffield 29mm,379.0,2293.jpg
2294,Guess,Fame,349.95,2294.jpg
2295,Tissot,Le Locle Automatic Lady 29mm,1400.0,2295.jpg
2296,Maserati,Maserati Stile Silver Chronograph,589.0,2296.jpg
2297,Guess,Grace,299.95,2297.jpg
2298,Guess,Phoenix,299.95,2298.jpg
2299,Swatch,LUMINESCENT SAND,210.0,2299.jpg
2300,Tissot,Carson Premium,475.0,2300.jpg
2301,TIMEX,Stranger Things T80 by Timex,199.95,2301.jpg
2302,Tissot,Carson Premium Automatic Lady,1225.0,2302.jpg
2303,Swatch,BLACKINJELLY,165.0,2303.jpg
2304,Mido,Baroncelli Big Date,1500.0,2304.jpg
2305,Swatch,BEATPINK,105.0,2305.jpg
2306,Guess,Third Gear,329.95,2306.jpg
2308,Maserati,Maserati Stile Silver Chronograph,589.0,2308.jpg
2309,Mido,Commander Big Date,1500.0,2309.jpg
2310,Guess,Fame,349.95,2310.jpg
2311,Guess,Pilot,449.95,2311.jpg
2312,Guess,Grace,299.95,2312.jpg
